index, timestamp, temp, press, humid, gas, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 20:03:51, b'0.00,0.00,0.00,0.00,44330.00,68414,500,2754,2254,100.355873,0,0,0,0\r\n'
1, 20:03:52, b'0.00,0.00,0.00,0.00,44330.00,69776,500,2755,2255,100.408478,0,0,0,0\r\n'
2, 20:03:54, b'0.00,0.00,0.00,0.00,44330.00,71138,500,2751,2251,100.198059,0,0,0,0\r\n'
3, 20:03:55, b'0.00,0.00,0.00,0.00,44330.00,72500,500,2752,2252,100.250664,0,0,0,0\r\n'
4, 20:03:57, b'0.00,0.00,0.00,0.00,44330.00,73862,499,2749,2250,100.181885,0,0,0,0\r\n'
5, 20:03:58, b'0.00,0.00,0.00,0.00,44330.00,75224,499,2749,2250,100.181885,0,0,0,0\r\n'
6, 20:03:59, b'0.00,0.00,0.00,0.00,44330.00,76586,499,2749,2250,100.181885,0,0,0,0\r\n'
7, 20:04:01, b'0.00,0.00,0.00,0.00,44330.00,77948,500,2749,2249,100.092857,0,0,0,0\r\n'
8, 20:04:02, b'0.00,0.00,0.00,0.00,44330.00,79310,499,2748,2249,100.129280,0,0,0,0\r\n'
9, 20:04:03, b'0.00,0.00,0.00,0.00,44330.00,80672,499,2747,2248,100.076668,0,0,0,0\r\n'
