index, timestamp, temp, press, humid, gas, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 20:04:25, b'0.00,0.00,0.00,0.00,44330.00,14815,506,2837,2331,104.189545,0,0,0,0\r\n'
1, 20:04:27, b'0.00,0.00,0.00,0.00,44330.00,16177,514,2877,2363,105.581177,0,0,0,0\r\n'
2, 20:04:28, b'0.00,0.00,0.00,0.00,44330.00,17539,515,2885,2370,105.913124,0,0,0,0\r\n'
3, 20:04:30, b'0.00,0.00,0.00,0.00,44330.00,18901,519,2903,2384,106.503616,0,0,0,0\r\n'
4, 20:04:31, b'0.00,0.00,0.00,0.00,44330.00,20263,521,2915,2394,106.956856,0,0,0,0\r\n'
5, 20:04:32, b'0.00,0.00,0.00,0.00,44330.00,21625,522,2918,2396,107.025497,0,0,0,0\r\n'
6, 20:04:34, b'0.00,0.00,0.00,0.00,44330.00,22987,522,2918,2396,107.025497,0,0,0,0\r\n'
7, 20:04:35, b'0.00,0.00,0.00,0.00,44330.00,24349,521,2912,2391,106.798874,0,0,0,0\r\n'
8, 20:04:36, b'0.00,0.00,0.00,0.00,44330.00,25711,518,2901,2383,106.487656,0,0,0,0\r\n'
9, 20:04:38, b'0.00,0.00,0.00,0.00,44330.00,27073,516,2886,2370,105.876434,0,0,0,0\r\n'
