index, timestamp, temp, press, humid, gas, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 21:17:04, b'0.00,0.00,0.00,0.00,44330.00,58765,364,2125,1761,79.388702,0,0,0,0\r\n'
1, 21:17:06, b'0.00,0.00,0.00,0.00,44330.00,60127,341,1995,1654,74.597969,0,0,0,0\r\n'
2, 21:17:07, b'0.00,0.00,0.00,0.00,44330.00,61489,342,2001,1659,74.824631,0,0,0,0\r\n'
3, 21:17:09, b'0.00,0.00,0.00,0.00,44330.00,62851,347,2028,1681,75.799507,0,0,0,0\r\n'
4, 21:17:10, b'0.00,0.00,0.00,0.00,44330.00,64213,359,2098,1739,78.413818,0,0,0,0\r\n'
