index, timestamp, temp, press, humid, gas, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 20:01:50, b'0.00,0.00,0.00,0.00,44330.00,103629,504,2784,2280,101.577934,0,0,0,0\r\n'
1, 20:01:52, b'0.00,0.00,0.00,0.00,44330.00,104991,503,2780,2277,101.456566,0,0,0,0\r\n'
2, 20:01:53, b'0.00,0.00,0.00,0.00,44330.00,106353,504,2781,2277,101.420090,0,0,0,0\r\n'
3, 20:01:54, b'0.00,0.00,0.00,0.00,44330.00,107715,503,2781,2278,101.509193,0,0,0,0\r\n'
4, 20:01:56, b'0.00,0.00,0.00,0.00,44330.00,109077,503,2780,2277,101.456566,0,0,0,0\r\n'
5, 20:01:57, b'0.00,0.00,0.00,0.00,44330.00,110439,504,2784,2280,101.577934,0,0,0,0\r\n'
6, 20:01:58, b'0.00,0.00,0.00,0.00,44330.00,111801,503,2782,2279,101.561806,0,0,0,0\r\n'
7, 20:02:00, b'0.00,0.00,0.00,0.00,44330.00,113163,503,2780,2277,101.456566,0,0,0,0\r\n'
8, 20:02:01, b'0.00,0.00,0.00,0.00,44330.00,114525,503,2780,2277,101.456566,0,0,0,0\r\n'
9, 20:02:03, b'0.00,0.00,0.00,0.00,44330.00,115887,503,2779,2276,101.403954,0,0,0,0\r\n'
