index, timestamp, temp, press, humid, gas, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 19:40:17, b'0.00,0.00,0.00,0.00,44330.00,32160,552,3404,2852,129.989532,0,0,0,0\r\n'
1, 19:40:19, b'0.00,0.00,0.00,0.00,44330.00,33522,552,3405,2853,130.042511,0,0,0,0\r\n'
2, 19:40:20, b'0.00,0.00,0.00,0.00,44330.00,34884,553,3407,2854,130.057297,0,0,0,0\r\n'
3, 19:40:22, b'0.00,0.00,0.00,0.00,44330.00,36246,552,3405,2853,130.042511,0,0,0,0\r\n'
4, 19:40:23, b'0.00,0.00,0.00,0.00,44330.00,37608,553,3406,2853,130.004333,0,0,0,0\r\n'
5, 19:40:24, b'0.00,0.00,0.00,0.00,44330.00,38970,552,3403,2851,129.936569,0,0,0,0\r\n'
6, 19:40:26, b'0.00,0.00,0.00,0.00,44330.00,40332,552,3403,2851,129.936569,0,0,0,0\r\n'
7, 19:40:27, b'0.00,0.00,0.00,0.00,44330.00,41694,553,3402,2849,129.792465,0,0,0,0\r\n'
8, 19:40:28, b'0.00,0.00,0.00,0.00,44330.00,43056,552,3398,2846,129.671722,0,0,0,0\r\n'
9, 19:40:30, b'0.00,0.00,0.00,0.00,44330.00,44418,552,3399,2847,129.724701,0,0,0,0\r\n'
