index, timestamp, temp, press, humid, gas, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 18:37:29, b'0.00,0.00,0.00,0.00,44330.00,9281,563,3250,2687,120.851166,0,0,0,0\r\n'
1, 18:37:30, b'0.00,0.00,0.00,0.00,44330.00,10643,563,3256,2693,121.167809,0,0,0,0\r\n'
2, 18:37:32, b'0.00,0.00,0.00,0.00,44330.00,12005,573,3309,2736,123.064926,0,0,0,0\r\n'
3, 18:37:33, b'0.00,0.00,0.00,0.00,44330.00,13367,596,3426,2830,127.169922,0,0,0,0\r\n'
4, 18:37:34, b'0.00,0.00,0.00,0.00,44330.00,14729,596,3429,2833,127.328194,0,0,0,0\r\n'
5, 18:37:36, b'0.00,0.00,0.00,0.00,44330.00,16091,596,3427,2831,127.222672,0,0,0,0\r\n'
6, 18:37:37, b'0.00,0.00,0.00,0.00,44330.00,17453,595,3421,2826,126.996033,0,0,0,0\r\n'
7, 18:37:38, b'0.00,0.00,0.00,0.00,44330.00,18815,595,3423,2828,127.101540,0,0,0,0\r\n'
8, 18:37:40, b'0.00,0.00,0.00,0.00,44330.00,20177,596,3428,2832,127.275429,0,0,0,0\r\n'
9, 18:37:41, b'0.00,0.00,0.00,0.00,44330.00,21539,595,3420,2825,126.943275,0,0,0,0\r\n'
